"Variable","DataType.quadkey","DataType.ADM0_PC","DataType.ADM0_ES","DataType.ADM1_PC","DataType.ADM1_ES","DataType.ADM2_PC","DataType.ADM2_ES","DataType.connection","DataType.trimester","DataType.avg_d_kbps","DataType.avg_u_kbps","DataType.avg_lat_ms","DataType.tests","DataType.devices","Label"
"quadkey","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","The unique identifier representing each tile. Useful for spatial indexing, partitioning, and storing and deriving the tile geometry."
"ADM0_PC","character","numeric","character","numeric","character","numeric","character","character","character","numeric","numeric","numeric","numeric","numeric","The code representing a specific country. The National boundary."
"ADM0_ES","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","The name representing a specific country in Spanish. The National boundary."
"ADM1_PC","character","numeric","character","numeric","character","numeric","character","character","character","numeric","numeric","numeric","numeric","numeric","The code representing a subdivision of a country, such as a state or province. First-level administrative divisions."
"ADM1_ES","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","The name representing a subdivision of a country in Spanish. First-level administrative divisions."
"ADM2_PC","character","numeric","character","numeric","character","numeric","character","character","character","numeric","numeric","numeric","numeric","numeric","The code representing a further subdivision, such as a municipality. Second-level administrative divisions"
"ADM2_ES","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","The name representing a further subdivision in Spanish. Second-level administrative divisions"
"connection","character","numeric","character","numeric","character","numeric","character","character","character","numeric","numeric","numeric","numeric","numeric","Type of connection consulted"
"trimester","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","Trimester of the year for the data"
"avg_d_kbps","character","numeric","character","numeric","character","numeric","character","character","character","numeric","numeric","numeric","numeric","numeric","The average download speed of all tests performed in the tile, measured in kilobits per second."
"avg_u_kbps","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","The average upload speed of all tests performed in the tile, measured in kilobits per second."
"avg_lat_ms","character","numeric","character","numeric","character","numeric","character","character","character","numeric","numeric","numeric","numeric","numeric","The average latency of all tests performed in the tile, measured in milliseconds."
"tests","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","labelled","The total number of tests taken in the tile."
"devices","character","numeric","character","numeric","character","numeric","character","character","character","numeric","numeric","numeric","numeric","numeric","The total number of unique devices contributing tests in the tile."
